# TOPAS Version: 4.0
# Parameter File: GBScanningNozzle.txt
# Results for scorer: DoseOnRTGrid
# Filtered by: OnlyIncludeParticlesNamed = 1 "proton"
# Scored in component: ScoringCylinder
# R in 1 bin  of 0.495 cm
# Phi in 1 bin  of 360 deg
# Z in 583 bins of 0.0600343 cm
# DoseToMedium ( Gy ) : Mean   
LX,LY,LZ,DoseToWater (Gy)
0, 0, 303, 5.541131824391477e-11
0, 0, 304, 5.554110786270343e-11
0, 0, 305, 5.340157134647808e-11
0, 0, 306, 5.305480058070281e-11
0, 0, 307, 5.576325090000129e-11
0, 0, 308, 5.550052038498558e-11
0, 0, 309, 5.54974082746324e-11
0, 0, 310, 5.426247826137471e-11
0, 0, 311, 5.18850476388489e-11
0, 0, 312, 5.12548462134768e-11
0, 0, 313, 5.04087612724243e-11
0, 0, 314, 5.059027037225911e-11
0, 0, 315, 5.049691784099582e-11
0, 0, 316, 5.08497355671261e-11
0, 0, 317, 5.164469007693372e-11
0, 0, 318, 5.349758149098801e-11
0, 0, 319, 5.166908580312078e-11
0, 0, 320, 5.247761599792838e-11
0, 0, 321, 5.599604650653194e-11
0, 0, 322, 5.398474183762941e-11
0, 0, 323, 5.425034175965987e-11
0, 0, 324, 5.279003382123542e-11
0, 0, 325, 5.293958390328879e-11
0, 0, 326, 5.220378411924318e-11
0, 0, 327, 5.387126947016533e-11
0, 0, 328, 5.146227574600514e-11
0, 0, 329, 5.097341977299201e-11
0, 0, 330, 4.909403189118706e-11
0, 0, 331, 4.902516912964128e-11
0, 0, 332, 4.871735985326325e-11
0, 0, 333, 4.918825288045377e-11
0, 0, 334, 4.932142825761886e-11
0, 0, 335, 4.885928374313822e-11
0, 0, 336, 4.866387836376473e-11
0, 0, 337, 4.897744038087543e-11
0, 0, 338, 4.872785312791157e-11
0, 0, 339, 4.906205330095233e-11
0, 0, 340, 4.898871424890299e-11
0, 0, 341, 4.879876164290116e-11
0, 0, 342, 4.838857553555087e-11
0, 0, 343, 4.801848265103875e-11
0, 0, 344, 4.771082542725961e-11
0, 0, 345, 4.75330098501615e-11
0, 0, 346, 4.816951889418207e-11
0, 0, 347, 4.822922563297993e-11
0, 0, 348, 4.826574170003495e-11
0, 0, 349, 4.864430537386152e-11
0, 0, 350, 4.839295975898731e-11
0, 0, 351, 5.462319468225001e-11
0, 0, 352, 5.256706132555732e-11
0, 0, 353, 5.249698960092957e-11
0, 0, 354, 4.975914835295728e-11
0, 0, 355, 4.954567750043917e-11
0, 0, 356, 5.001855929679299e-11
0, 0, 357, 4.9642432507027e-11
0, 0, 358, 4.879076449344291e-11
0, 0, 359, 4.9762025923262e-11
0, 0, 360, 5.43556992611052e-11
0, 0, 361, 5.631335477907127e-11
0, 0, 362, 5.251861856947919e-11
0, 0, 363, 5.620707804983068e-11
0, 0, 364, 5.749181055789022e-11
0, 0, 365, 5.338658458213576e-11
0, 0, 366, 5.88051119334808e-11
0, 0, 367, 5.492799899851626e-11
0, 0, 368, 5.528650328025944e-11
0, 0, 369, 5.318881463779216e-11
0, 0, 370, 5.180527957396526e-11
0, 0, 371, 5.285873354827885e-11
0, 0, 372, 5.213329640153654e-11
0, 0, 373, 5.202890574350455e-11
0, 0, 374, 5.110903056308625e-11
0, 0, 375, 5.01601463757764e-11
0, 0, 376, 5.686590507699228e-11
0, 0, 377, 5.475336446475617e-11
0, 0, 378, 5.401559038574534e-11
0, 0, 379, 5.354612936809052e-11
0, 0, 380, 5.384385185678325e-11
0, 0, 381, 5.388129942708499e-11
0, 0, 382, 5.136181924255767e-11
0, 0, 383, 5.295975066524431e-11
0, 0, 384, 5.124624268293635e-11
0, 0, 385, 5.081407112851916e-11
0, 0, 386, 4.971166155042868e-11
0, 0, 387, 4.971099935008048e-11
0, 0, 388, 4.871611493575087e-11
0, 0, 389, 4.912353983516107e-11
0, 0, 390, 4.875415272855507e-11
0, 0, 391, 4.991821668322281e-11
0, 0, 392, 5.141021621279245e-11
0, 0, 393, 5.01811855024377e-11
0, 0, 394, 5.026911945886434e-11
0, 0, 395, 4.959453669989939e-11
0, 0, 396, 4.891723663111519e-11
0, 0, 397, 4.851890474689224e-11
0, 0, 398, 4.825429357478814e-11
0, 0, 399, 4.850282482659861e-11
0, 0, 400, 4.835032072504723e-11
0, 0, 401, 4.992574054180227e-11
0, 0, 402, 5.09987382097351e-11
0, 0, 403, 4.824517389574961e-11
0, 0, 404, 4.872667323000968e-11
0, 0, 405, 4.906124577105911e-11
0, 0, 406, 4.9582765424765e-11
0, 0, 407, 5.211848281407126e-11
0, 0, 408, 5.352383240509937e-11
0, 0, 409, 5.179422791569833e-11
0, 0, 410, 4.76479632137748e-11
0, 0, 411, 4.781073947256093e-11
0, 0, 412, 4.7673764783592e-11
0, 0, 413, 4.73522064265878e-11
0, 0, 414, 4.768863774911318e-11
0, 0, 415, 4.772372267564094e-11
0, 0, 416, 4.827084861082981e-11
0, 0, 417, 4.828247996214617e-11
0, 0, 418, 4.846675528517045e-11
0, 0, 419, 4.879718546902135e-11
0, 0, 420, 5.625354625096004e-11
0, 0, 421, 4.87962933458288e-11
0, 0, 422, 5.247098758335567e-11
0, 0, 423, 4.939916813801832e-11
0, 0, 424, 4.838227913748444e-11
0, 0, 425, 4.866256331725306e-11
0, 0, 426, 4.813352158032973e-11
0, 0, 427, 4.861818914113098e-11
0, 0, 428, 5.197213931745649e-11
0, 0, 429, 5.0795476575029e-11
0, 0, 430, 4.93267093190302e-11
0, 0, 431, 4.957252202860414e-11
0, 0, 432, 5.54590668993405e-11
0, 0, 433, 5.082607453728562e-11
0, 0, 434, 4.910526768488948e-11
0, 0, 435, 4.874025301753093e-11
0, 0, 436, 5.157268631772345e-11
0, 0, 437, 5.030936564116222e-11
0, 0, 438, 5.114831964927523e-11
0, 0, 439, 5.132657998686676e-11
0, 0, 440, 4.913637121143109e-11
0, 0, 441, 4.899650156992847e-11
0, 0, 442, 4.945644522103992e-11
0, 0, 443, 5.193302957565628e-11
0, 0, 444, 4.996221495325957e-11
0, 0, 445, 5.013730174285126e-11
0, 0, 446, 5.107756730315344e-11
0, 0, 447, 5.264724694695847e-11
0, 0, 448, 5.064930989796841e-11
0, 0, 449, 5.334482231405366e-11
0, 0, 450, 5.188356109148634e-11
0, 0, 451, 4.780268996578408e-11
0, 0, 452, 4.846607372752378e-11
0, 0, 453, 4.792174005786221e-11
0, 0, 454, 5.027016403099573e-11
0, 0, 455, 5.559366352568047e-11
0, 0, 456, 5.963593688990504e-11
0, 0, 457, 5.348886212506437e-11
